qa_run_id,batch_id,revision_id,parent_run_id,source_hash,rubric_hash,scope_hash,product_count,status,canonical,supersedes,superseded_by,registry_status,created_at,result_xlsx,result_md,manifest
QA-20260907-AGENT-B044,B044,,,,,,,QA_REVISE,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B044\SEO_QA_B044.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B044\SEO_QA_B044.md,
QA-20260907-AGENT-B045,B045,,,,,,,QA_REVISE,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B045\SEO_QA_B045.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B045\SEO_QA_B045.md,
QA-20260907-AGENT-B046,B046,,,,,,,QA_REVISE,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B046\SEO_QA_B046.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B046\SEO_QA_B046.md,
QA-20260907-AGENT-B047,B047,,,,,,,QA_REVISE,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B047\SEO_QA_B047.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B047\SEO_QA_B047.md,
QA-20260907-AGENT-B048,B048,,,,,,,QA_REVISE,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B048\SEO_QA_B048.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B048\SEO_QA_B048.md,
QA-20260907-AGENT-B049,B049,,,,,,,QA_REVISE,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B049\SEO_QA_B049.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B049\SEO_QA_B049.md,
QA-20260907-AGENT-B050,B050,,,,,,,QA_REVISE,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B050\SEO_QA_B050.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B050\SEO_QA_B050.md,
QA-20260907-AGENT-B051,B051,,,,,,,QA_REVISE,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B051\SEO_QA_B051.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B051\SEO_QA_B051.md,
QA-20260907-AGENT-B052,B052,,,,,,,QA_REVISE,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B052\SEO_QA_B052.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B052\SEO_QA_B052.md,
QA-20260907-AGENT-B053,B053,,,,,,,QA_REVISE,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B053\SEO_QA_B053.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B053\SEO_QA_B053.md,
